latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
41.2115,78.5948,10.0,2024-04-23 12:26:36.735000+00:00,2024,4,23,12,4.5,4.46,44.968810833333336,2024-01-22 18:09:04.340000+00:00,280,6.953100109449014,91.76218049768518
41.7599,82.0398,10.0,2024-04-22 21:16:36.214000+00:00,2024,4,22,21,4.4,4.46,15.166811388888888,2003-12-01 01:38:31.960000+00:00,1094,178.8020126074616,7448.818104791666
41.9886,82.6901,10.0,2024-04-22 13:08:48.001000+00:00,2024,4,22,13,4.6,4.4399999999999995,8.130059166666667,2003-12-01 01:38:31.960000+00:00,1094,205.86066924058377,7448.479352326389
41.7672,81.9139,10.0,2024-04-19 05:27:56.338000+00:00,2024,4,19,5,4.5,4.46,79.6810175,2003-12-01 01:38:31.960000+00:00,1094,171.06455512945882,7445.1593099305555
41.3167,78.821,10.0,2024-04-18 00:23:36.018000+00:00,2024,4,18,0,4.3,4.38,29.072311111111112,2024-01-22 18:09:04.340000+00:00,280,15.568432035788746,86.26008886574074
42.0079,82.6902,10.0,2024-04-17 04:22:33.355000+00:00,2024,4,17,4,4.9,4.4399999999999995,20.01740638888889,2003-12-01 01:38:31.960000+00:00,1094,204.79253621033652,7443.113905034722
41.2956,78.6481,10.0,2024-04-14 13:51:00.540000+00:00,2024,4,14,13,4.5,4.47,62.52578194444445,2024-01-22 18:09:04.340000+00:00,280,4.479008193420968,82.82078935185186
41.1619,78.6163,4.251,2024-04-12 08:13:42.468000+00:00,2024,4,12,8,4.6,4.5,53.62168666666666,2024-01-22 18:09:04.340000+00:00,280,10.860393155705825,80.5865524074074
41.8318,82.7273,10.0,2024-04-11 00:42:33.914000+00:00,2024,4,11,0,4.4,4.51,31.519042777777777,2003-12-01 01:38:31.960000+00:00,1094,217.74707870238623,7436.961133726852
41.9716,82.6606,10.0,2024-04-10 18:53:50.151000+00:00,2024,4,10,18,4.6,4.529999999999999,5.812156388888889,2003-12-01 01:38:31.960000+00:00,1094,204.72526429803074,7436.718960543982
41.9596,82.6648,8.0,2024-04-10 14:56:17.074000+00:00,2024,4,10,14,5.4,4.619999999999999,3.9591880555555554,2003-12-01 01:38:31.960000+00:00,1094,205.71490957465502,7436.553994375
41.8952,82.4218,10.0,2024-04-10 10:57:39.261000+00:00,2024,4,10,10,5.0,4.68,3.9771702777777778,2003-12-01 01:38:31.960000+00:00,1094,192.9338527018563,7436.388278946759
42.3017,83.5337,10.0,2024-04-09 04:10:22.195000+00:00,2024,4,9,4,4.3,4.65,30.788073888888892,2012-06-29 21:07:33.860000+00:00,744,157.72277761664952,4301.293614988425
41.766,82.3721,10.0,2024-04-07 23:20:46.564000+00:00,2024,4,7,23,4.0,4.6,28.826564166666664,2003-12-01 01:38:31.960000+00:00,1094,198.5657456143369,7433.904335694444
41.8794,82.2888,10.0,2024-04-07 23:16:28.205000+00:00,2024,4,7,23,4.5,4.62,0.07176638888888888,2003-12-01 01:38:31.960000+00:00,1094,185.22430793849622,7433.90134542824
41.8492,82.1566,10.0,2024-04-07 20:47:58.649000+00:00,2024,4,7,20,5.0,4.630000000000001,2.474876666666667,2003-12-01 01:38:31.960000+00:00,1094,178.9734668004642,7433.7982255671295
41.7333,82.4992,10.0,2024-04-07 14:20:56.796000+00:00,2024,4,7,14,4.3,4.61,6.450514722222222,2003-12-01 01:38:31.960000+00:00,1094,209.02076119865396,7433.52945412037
41.9145,82.3352,10.0,2024-04-07 11:03:09.406000+00:00,2024,4,7,11,4.5,4.6,3.296497222222222,2003-12-01 01:38:31.960000+00:00,1094,185.8843971440346,7433.3921000694445
41.8091,82.4781,10.0,2024-04-07 09:45:29.091000+00:00,2024,4,7,9,4.3,4.590000000000001,1.2945319444444443,2003-12-01 01:38:31.960000+00:00,1094,202.41577860817623,7433.338161238426
